ds,pkg,old_ver,new_ver,note_en,note_zh
2026-07-24,age,1.7.0,1.8.0,PG18: 1.8.0-rc0; PG17: 1.7.0,PG18：1.8.0-rc0；PG17：1.7.0
2026-07-24,argm,,1.1.1,PG14-18,PG14-18
2026-07-24,babelfish,5.5.0,5.4.0,Catalog fix: 5.4.0; PG17-18; Babelfish: +PG18,目录修正为 5.4.0；PG17-18；Babelfish：+PG18
2026-07-24,block_copy_command,0.1.5,0.1.5,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,citus,14.1.0,14.1.0,"Citus 13.0.0; EL10 RPM PG14, 2 arch",Citus 13.0.0；EL10 双架构 RPM PG14
2026-07-24,cron_utils,,0.1.0,SQL-only; PG14-18,纯 SQL；PG14-18
2026-07-24,dbt2,0.61.7,0.61.7,"+DEB PG14-18; +EL8 RPM PG17-18, 2 arch",+DEB PG14-18；+EL8 双架构 RPM PG17-18
2026-07-24,decoder_raw,1.0,1.0,EL10/D13; PG14-16; 2 arch,EL10/D13；PG14-16；双架构
2026-07-24,decoderbufs,3.5.0,3.6.0,DEB 3.6.0; RPM 3.5.0; PG14-18,DEB 3.6.0；RPM 3.5.0；PG14-18
2026-07-24,documentdb,0.113,0.114,PG15-18; 16 targets,PG15-18；16 平台
2026-07-24,etcd_fdw,0.0.1,0.0.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,faker,0.5.3,0.5.3,+DEB PG14-18; +DEB PG14-18; D12/U22: python3-fake-factory 22.0.0,+DEB PG14-18；+DEB PG14-18；D12/U22：python3-fake-factory 22.0.0
2026-07-24,fbsql,,0.1.0,PL/R; PG16-18,依赖 PL/R；PG16-18
2026-07-24,hdfs_fdw,2.3.3,2.3.3,+DEB PG14-18,+DEB PG14-18
2026-07-24,hunspell_cs_cz,1.0,1.0,hunspell bundle; 10 dictionaries; 16 targets; PG14-18,hunspell 合包；10 词典；16 平台；PG14-18
2026-07-24,hunspell_de_de,1.0,1.0,hunspell bundle; 10 dictionaries; 16 targets; PG14-18,hunspell 合包；10 词典；16 平台；PG14-18
2026-07-24,hunspell_en_us,1.0,1.0,hunspell bundle; 10 dictionaries; 16 targets; PG14-18,hunspell 合包；10 词典；16 平台；PG14-18
2026-07-24,hunspell_fr,1.0,1.0,hunspell bundle; 10 dictionaries; 16 targets; PG14-18,hunspell 合包；10 词典；16 平台；PG14-18
2026-07-24,hunspell_ne_np,1.0,1.0,hunspell bundle; 10 dictionaries; 16 targets; PG14-18,hunspell 合包；10 词典；16 平台；PG14-18
2026-07-24,hunspell_nl_nl,1.0,1.0,hunspell bundle; 10 dictionaries; 16 targets; PG14-18,hunspell 合包；10 词典；16 平台；PG14-18
2026-07-24,hunspell_nn_no,1.0,1.0,hunspell bundle; 10 dictionaries; 16 targets; PG14-18,hunspell 合包；10 词典；16 平台；PG14-18
2026-07-24,hunspell_pt_pt,1.0,1.0,16 targets; pt_pt.stop avoids core conflict,16 平台；pt_pt.stop 避免内核冲突
2026-07-24,hunspell_ru_ru,1.0,1.0,hunspell bundle; 10 dictionaries; 16 targets; PG14-18,hunspell 合包；10 词典；16 平台；PG14-18
2026-07-24,hunspell_ru_ru_aot,1.0,1.0,hunspell bundle; 10 dictionaries; 16 targets; PG14-18,hunspell 合包；10 词典；16 平台；PG14-18
2026-07-24,imgsmlr,1.0,1.0,EL10/D13; PG14-18; 2 arch,EL10/D13；PG14-18；双架构
2026-07-24,ivorysql,1.0,1.0,IvorySQL 5.4; PG18; 16 targets,IvorySQL 5.4；PG18；16 平台
2026-07-24,jdbc_fdw,0.4.0,0.5.0,pkg 0.5.0; SQL 1.2; PG14-18; 16 targets,包 0.5.0；SQL 1.2；PG14-18；16 平台
2026-07-24,jsonschema,0.1.9,0.1.9,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,mobilitydb,1.3.0,1.3.0,+RPM 6 EL PG14-18; +U22 DEB PG18; mobilitydb bundle; +RPM 6 EL; +U22 DEB PG18,+RPM 6 个 EL PG14-18；+U22 DEB PG18；随 mobilitydb；+RPM 6 个 EL；+U22 DEB PG18
2026-07-24,nominatim_fdw,1.3,2.0.0,PG14-18; 16 targets,PG14-18；16 平台
2026-07-24,odbc_fdw,0.5.1,0.6.1,pkg 0.6.1; SQL 0.5.2; PG14-18,包 0.6.1；SQL 0.5.2；PG14-18
2026-07-24,ogr_fdw,1.1.8,1.1.9,PG14-18,PG14-18
2026-07-24,omnigres,0.2.14,0.2.14,"omnigres 20251108; EL10 PG14-18; EL8/9,D12/U22 PG18",20251108；EL10 PG14-18；EL8/9、D12/U22 PG18
2026-07-24,online_advisor,,1.0,PG14-18,PG14-18
2026-07-24,pg_anon,3.1.1,3.1.3,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_base58,0.0.1,0.0.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_bestmatch,0.0.2,0.0.2,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_biscuit,2.4.1,2.4.3,pkg 2.4.3; SQL 2.4.1; PG16-18,包 2.4.3；SQL 2.4.1；PG16-18
2026-07-24,pg_cardano,1.2.0,1.2.0,pgrx 0.19.1; PG15-18,pgrx 0.19.1；PG15-18
2026-07-24,pg_cjk_parser,,0.1.0,PG14-18,PG14-18
2026-07-24,pg_command_fw,0.1.0,0.1.0,pgrx 0.19.1; PG15-18,pgrx 0.19.1；PG15-18
2026-07-24,pg_convert,0.1.0,0.1.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_csv,1.0.1,1.0.2,+RPM; pkg 1.0.2; SQL 1.0.1; PG14-18,+RPM；包 1.0.2；SQL 1.0.1；PG14-18
2026-07-24,pg_dbms_errlog,2.2,2.4,PG14-18,PG14-18
2026-07-24,pg_dbms_job,2.0,2.0,+DEB PG14-18,+DEB PG14-18
2026-07-24,pg_dbms_lock,2.0,2.0,+DEB PG14-18,+DEB PG14-18
2026-07-24,pg_dbms_metadata,1.0.0,1.0.0,+DEB PG14-18; +EL8 aarch64 RPM PG15,+DEB PG14-18；+EL8 aarch64 RPM PG15
2026-07-24,pg_durable,0.2.2,0.2.3,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_enigma,0.5.0,0.5.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_eviltransform,0.0.2,0.0.4,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_explain_ui,0.0.2,0.0.2,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_fact_loader,2.0.1,2.0.1,U26 DEB PG14-18,U26 DEB PG14-18
2026-07-24,pg_flight_recorder,,2.29.2,pg_flight_recorder; PG15-18,pg_flight_recorder；PG15-18
2026-07-24,pg_fts,,0.2.0,PG17-18,PG17-18
2026-07-24,pg_graphql,1.6.1,1.6.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_h3,4.2.3,4.2.3,EL8 x86_64 RPM PG17-18,EL8 x86_64 RPM PG17-18
2026-07-24,pg_http,1.7.1,1.7.2,PG14-18,PG14-18
2026-07-24,pg_idkit,0.4.0,0.4.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_ivm,1.14,1.15,PG14-18,PG14-18
2026-07-24,pg_jieba,,1.1.0,pkg 2.0.1; SQL 1.1.0; PG14-18,包 2.0.1；SQL 1.1.0；PG14-18
2026-07-24,pg_jsonschema,0.3.4,0.3.4,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_kazsearch,2.2.0,2.3.0,pgrx 0.19.1; PG16-18,pgrx 0.19.1；PG16-18
2026-07-24,pg_kpart,,1.0,PG14-18,PG14-18
2026-07-24,pg_lake,,3.4,pg_lake 3.4; PG16-18; RPM EL9/10,pg_lake 3.4；PG16-18；RPM 仅 EL9/10
2026-07-24,pg_later,0.4.0,0.4.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_mooncake,0.2.0,0.2.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_net,0.20.3,0.20.5,pkg 0.20.5; SQL 0.20.4; PG14-18; RPM EL10; D12/D13/U24/U26: 0.20.5; U22: 0.9.2 (libcurl); PG14-18,包 0.20.5；SQL 0.20.4；PG14-18；RPM EL10；D12/D13/U24/U26：0.20.5；U22：0.9.2（libcurl）；PG14-18
2026-07-24,pg_oidc_validator,,0.2,"Percona OIDC; PG18; DEB all, RPM EL10",Percona OIDC；PG18；DEB 全平台，RPM 仅 EL10
2026-07-24,pg_oidc_validator_rust,,0.1.0,Rust OIDC; PG18,Rust OIDC；PG18
2026-07-24,pg_parquet,0.5.1,0.5.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_pinyin,0.0.4,0.0.5,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_polyline,0.0.1,0.0.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_render,0.1.3,0.1.3,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_rewrite,2.0.0,2.2,PG14-18,PG14-18
2026-07-24,pg_roast,,1.0,PG14-18,PG14-18
2026-07-24,pg_rrf,0.0.3,0.0.3,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_search,0.24.0,0.24.3,pgrx 0.19.1; PG15-18,pgrx 0.19.1；PG15-18
2026-07-24,pg_session_jwt,0.5.0,0.5.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_smtp_client,0.2.1,0.2.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_statement_rollback,1.5,1.6,PG14-18,PG14-18
2026-07-24,pg_strict,1.0.5,1.0.5,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_strom,6.1,6.1,pg_strom 3.5; EL10 x86_64 PG14,pg_strom 3.5；EL10 x86_64 PG14
2026-07-24,pg_summarize,0.0.1,0.0.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_tde,2.1,2.2,Percona; PG17-18,Percona；PG17-18
2026-07-24,pg_tiktoken,0.0.1,0.0.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_tiktoken_c,,1.1,PG14-18,PG14-18
2026-07-24,pg_tokenizer,0.1.1,0.1.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_trickle,0.81.0,0.81.0,pgrx 0.19.1; PG18,pgrx 0.19.1；PG18
2026-07-24,pg_typeid,0.3.0,0.3.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_tzf,0.3.0,0.3.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pg_vectorize,0.26.2,0.26.2,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
