id,name,pkg,lead_ext,category,state,url,license,tags,version,repo,lang,contrib,lead,has_bin,has_lib,need_ddl,need_load,trusted,relocatable,schemas,pg_ver,requires,require_by,see_also,rpm_ver,rpm_repo,rpm_pkg,rpm_pg,rpm_deps,deb_ver,deb_repo,deb_pkg,deb_deps,deb_pg,source,extra,en_desc,zh_desc,comment,mtime
1000,timescaledb,timescaledb,timescaledb,TIME,available,https://github.com/timescale/timescaledb,Timescale,,2.29.1,PIGSTY,C,f,t,f,t,t,t,t,f,"{timescaledb_information,timescaledb_experimental}","{18,17,16}",,,"{timescaledb_toolkit,timeseries,pg_stl,pg_partman,pg_ttl_index,citus,pg_cron,pg_ivm,pg_incremental,pg_trickle}",2.29.1,PIGSTY,timescaledb-tsl_$v,"{18,17,16}",,2.29.1,PIGSTY,postgresql-$v-timescaledb-tsl,,"{18,17,16}",timescaledb-2.29.1.tar.gz,"{""deb"": true, ""lib"": ""timescaledb"", ""rpm"": true, ""star"": 23275, ""type"": ""preload""}",Enables scalable inserts and complex queries for time-series data,时序数据库扩展插件,TimescaleDB 2.29 removes PostgreSQL 15 support,2026-08-10
1010,timescaledb_toolkit,timescaledb_toolkit,timescaledb_toolkit,TIME,available,https://github.com/timescale/timescaledb-toolkit,Timescale,{pgrx},1.23.0,PIGSTY,Rust,f,t,f,t,t,f,f,f,,"{18,17,16,15}",,,"{timescaledb,timeseries,pg_stl,first_last_agg,extra_window_functions,quantile,tdigest,topn,tablefunc}",1.23.0,PIGSTY,timescaledb-toolkit_$v,"{18,17,16,15}",,1.23.0,PIGSTY,postgresql-$v-timescaledb-toolkit,,"{18,17,16,15}",timescaledb-toolkit-1.23.0.tar.gz,"{""deb"": true, ""rpm"": true, ""pgrx"": ""0.19.1"", ""star"": 480, ""type"": ""standard"", ""upstream_pgrx"": ""0.18.0""}","Library of analytical hyperfunctions, time-series pipelining, and other SQL utilities",超表分析查询，时间序列流式处理，以及其他SQL工具,,2026-08-10
1020,timeseries,pg_timeseries,timeseries,TIME,available,https://github.com/ChuckHend/pg_timeseries,PostgreSQL,,0.2.1,PIGSTY,SQL,f,t,f,f,t,f,f,f,,"{18,17,16,15,14}","{pg_cron,pg_partman}",,"{timescaledb,timescaledb_toolkit,pg_stl,pg_partman,pg_ttl_index,first_last_agg,extra_window_functions,tdigest}",0.2.1,PIGSTY,pg_timeseries_$v,"{18,17,16,15,14}","{pg_cron_$v,pg_partman_$v}",0.2.1,PIGSTY,postgresql-$v-pg-timeseries,"{postgresql-$v-cron,postgresql-$v-partman}","{18,17,16,15,14}",pg_timeseries-0.2.1.tar.gz,"{""deb"": true, ""rpm"": true, ""pgxn"": true, ""star"": 423, ""type"": ""puresql""}",Convenience API for time series stack,时序数据API封装,,2026-08-10
1030,periods,periods,periods,TIME,available,https://github.com/xocolatl/periods,PostgreSQL,,1.2.3,PIGSTY,C,f,t,f,t,t,f,f,f,,"{18,17,16,15,14}",{btree_gist},,"{temporal_tables,table_version,data_historization,pgmemento,table_log,emaj,ddl_historization}",1.2.3,PIGSTY,periods_$v,"{18,17,16,15,14}",,1.2.3,PGDG,postgresql-$v-periods,,"{18,17,16,15,14}",periods-1.2.3.tar.gz,"{""rpm"": true, ""star"": 318, ""type"": ""standard""}",Provide Standard SQL functionality for PERIODs and SYSTEM VERSIONING,为 PERIODs 和 SYSTEM VERSIONING 提供标准 SQL 功能,,2026-08-10
1040,temporal_tables,temporal_tables,temporal_tables,TIME,available,https://pgxn.org/dist/temporal_tables/,BSD-2-Clause,{pgdg-flaw},1.2.2,PIGSTY,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14}",,,"{periods,table_version,data_historization,pgmemento,table_log,emaj,old_snapshot,pg_dirtyread,pg_visibility,ddl_historization}",1.2.2,PIGSTY,temporal_tables_$v,"{18,17,16,15,14}",,1.2.2,PIGSTY,postgresql-$v-temporal-tables,,"{18,17,16,15,14}",temporal_tables-1.2.2.tar.gz,"{""deb"": true, ""rpm"": true, ""pgxn"": true, ""type"": ""standard""}",temporal tables,时态表功能支持,no pg17 on el8/9 pgdg repo,2026-07-29
1050,emaj,emaj,emaj,TIME,available,https://github.com/dalibo/emaj,GPL-3.0,,5.0.0,PIGSTY,SQL,f,t,f,t,t,f,f,f,{emaj},"{18,17,16,15,14}","{btree_gist,dblink}",,"{table_version,pgmemento,data_historization,table_log,ddl_historization,periods,temporal_tables}",5.0.0,PIGSTY,e-maj_$v,"{18,17,16,15,14}",,5.0.0,PIGSTY,postgresql-$v-emaj,,"{18,17,16,15,14}",emaj-5.0.0.tar.gz,"{""deb"": true, ""rpm"": true, ""pgxn"": true, ""star"": 91, ""type"": ""standard""}",Enables fine-grained write logging and time travel on subsets of the database.,让数据库的子集具有细粒度日志和时间旅行功能,Requires max_prepared_transactions,2026-07-30
1060,table_version,table_version,table_version,TIME,available,https://github.com/linz/postgresql-tableversion,BSD-3-Clause,{pgdg-flaw},1.11.1,MIXED,SQL,f,t,f,t,t,f,f,f,{table_version},"{18,17,16,15,14}",{plpgsql},,"{data_historization,pgmemento,table_log,ddl_historization,periods,temporal_tables,emaj,pgaudit,pg_drop_events,pgauditlogtofile}",1.11.1,PIGSTY,table_version_$v,"{18,17,16,15,14}",,1.11.1,PIGSTY,postgresql-$v-table-version,,"{18,17,16,15,14}",postgresql-tableversion-1.11.1.tar.gz,"{""deb"": true, ""pgxn"": true, ""star"": 68, ""type"": ""standard""}",PostgreSQL table versioning extension,PostgreSQL 版本控制表扩展,,2026-07-29
1070,pg_cron,pg_cron,pg_cron,TIME,available,https://github.com/citusdata/pg_cron,PostgreSQL,,1.6.7,PGDG,C,f,t,f,t,t,t,f,f,{pg_catalog},"{18,17,16,15,14}",,"{documentdb,pg_dispatch,pglock,pgmb,timeseries,vectorize}","{pgagent,pg_task,pg_dbms_job,pg_dispatch,pg_later,pg_jobmon,pg_durable,pg_background,pg_when,cron_utils}",1.6.7,PGDG,pg_cron_$v,"{18,17,16,15,14}",,1.6.7,PGDG,postgresql-$v-cron,,"{18,17,16,15,14}",,"{""lib"": ""pg_cron"", ""star"": 3865, ""type"": ""preload""}",Job scheduler for PostgreSQL,定时任务调度器,require cron.database_name,2026-08-10
1080,pg_task,pg_task,pg_task,TIME,available,https://github.com/RekGRpth/pg_task,MIT,,2.1.29,PIGSTY,C,f,t,f,t,f,t,f,f,,"{18,17,16,15,14}",,,"{pg_cron,pg_durable,pg_background,pgagent,pg_dispatch,pg_dbms_job,pg_later,pgmq,ulak,pg_retry}",2.1.29,PIGSTY,pg_task_$v,"{18,17,16,15,14}",,2.1.29,PIGSTY,postgresql-$v-pg-task,,"{18,17,16,15,14}",pg_task-2.1.29.tar.gz,"{""deb"": true, ""lib"": ""pg_task"", ""rpm"": true, ""pgxn"": true, ""star"": 68, ""type"": ""headless""}",execute any sql command at any specific time at background,在特定时间点在后台执行SQL命令,breaks on many systems,2026-08-10
1090,pg_later,pg_later,pg_later,TIME,available,https://github.com/ChuckHend/pg_later,PostgreSQL,{pgrx},0.4.0,PIGSTY,Rust,f,t,f,t,t,t,f,f,{pglater},"{18,17,16,15,14}",{pgmq},,"{pg_task,pg_cron,pg_dispatch,pgagent,pg_dbms_job,pg_background,pg_durable,omni_worker,pg_jobmon}",0.4.0,PIGSTY,pg_later_$v,"{18,17,16,15,14}",{pgmq_$v},0.4.0,PIGSTY,postgresql-$v-pg-later,{postgresql-$v-pgmq},"{18,17,16,15,14}",pg_later-0.4.0.tar.gz,"{""deb"": true, ""lib"": ""pg_later"", ""rpm"": true, ""pgrx"": ""0.19.1"", ""pgxn"": true, ""star"": 375, ""type"": ""preload"", ""upstream_pgrx"": ""0.16.1""}",Run queries now and get results later,执行查询，并在稍后异步获取查询结果,,2026-07-29
