id,os,org,type,os_code,os_arch,default_url,default_meta,mirror_url,mirror_meta,comment,extra
d12.aarch64.pgdg,d12.aarch64,pgdg,deb,d12,aarch64,https://apt.postgresql.org/pub/repos/apt,https://apt.postgresql.org/pub/repos/apt/dists/bookworm-pgdg/main/binary-arm64/Packages,https://repo.pigsty.cc/apt/pgdg,https://repo.pigsty.cc/apt/pgdg/dists/bookworm-pgdg/main/binary-arm64/Packages,,{}
d12.aarch64.pigsty,d12.aarch64,pigsty,deb,d12,aarch64,https://repo.pigsty.io/apt/pgsql/bookworm,https://repo.pigsty.io/apt/pgsql/bookworm/dists/bookworm/main/binary-arm64/Packages,https://repo.pigsty.cc/apt/pgsql/bookworm,https://repo.pigsty.cc/apt/pgsql/bookworm/dists/bookworm/main/binary-arm64/Packages,,{}
d12.x86_64.pgdg,d12.x86_64,pgdg,deb,d12,x86_64,https://apt.postgresql.org/pub/repos/apt,https://apt.postgresql.org/pub/repos/apt/dists/bookworm-pgdg/main/binary-amd64/Packages,https://repo.pigsty.cc/apt/pgdg,https://repo.pigsty.cc/apt/pgdg/dists/bookworm-pgdg/main/binary-amd64/Packages,,{}
d12.x86_64.pigsty,d12.x86_64,pigsty,deb,d12,x86_64,https://repo.pigsty.io/apt/pgsql/bookworm,https://repo.pigsty.io/apt/pgsql/bookworm/dists/bookworm/main/binary-amd64/Packages,https://repo.pigsty.cc/apt/pgsql/bookworm,https://repo.pigsty.cc/apt/pgsql/bookworm/dists/bookworm/main/binary-amd64/Packages,,{}
el8.aarch64.pgdg13,el8.aarch64,pgdg,rpm,el8,aarch64,https://download.postgresql.org/pub/repos/yum/13/redhat/rhel-8-aarch64,https://download.postgresql.org/pub/repos/yum/13/redhat/rhel-8-aarch64/repodata/repomd.xml,https://repo.pigsty.cc/yum/pgdg/13/redhat/rhel-8-aarch64,https://repo.pigsty.cc/yum/pgdg/13/redhat/rhel-8-aarch64/repodata/repomd.xml,,{}
el8.aarch64.pgdg14,el8.aarch64,pgdg,rpm,el8,aarch64,https://download.postgresql.org/pub/repos/yum/14/redhat/rhel-8-aarch64,https://download.postgresql.org/pub/repos/yum/14/redhat/rhel-8-aarch64/repodata/repomd.xml,https://repo.pigsty.cc/yum/pgdg/14/redhat/rhel-8-aarch64,https://repo.pigsty.cc/yum/pgdg/14/redhat/rhel-8-aarch64/repodata/repomd.xml,,{}
el8.aarch64.pgdg15,el8.aarch64,pgdg,rpm,el8,aarch64,https://download.postgresql.org/pub/repos/yum/15/redhat/rhel-8-aarch64,https://download.postgresql.org/pub/repos/yum/15/redhat/rhel-8-aarch64/repodata/repomd.xml,https://repo.pigsty.cc/yum/pgdg/15/redhat/rhel-8-aarch64,https://repo.pigsty.cc/yum/pgdg/15/redhat/rhel-8-aarch64/repodata/repomd.xml,,{}
el8.aarch64.pgdg16,el8.aarch64,pgdg,rpm,el8,aarch64,https://download.postgresql.org/pub/repos/yum/16/redhat/rhel-8-aarch64,https://download.postgresql.org/pub/repos/yum/16/redhat/rhel-8-aarch64/repodata/repomd.xml,https://repo.pigsty.cc/yum/pgdg/16/redhat/rhel-8-aarch64,https://repo.pigsty.cc/yum/pgdg/16/redhat/rhel-8-aarch64/repodata/repomd.xml,,{}
el8.aarch64.pgdg17,el8.aarch64,pgdg,rpm,el8,aarch64,https://download.postgresql.org/pub/repos/yum/17/redhat/rhel-8-aarch64,https://download.postgresql.org/pub/repos/yum/17/redhat/rhel-8-aarch64/repodata/repomd.xml,https://repo.pigsty.cc/yum/pgdg/17/redhat/rhel-8-aarch64,https://repo.pigsty.cc/yum/pgdg/17/redhat/rhel-8-aarch64/repodata/repomd.xml,,{}
el8.aarch64.pgdg18,el8.aarch64,pgdg,rpm,el8,aarch64,https://download.postgresql.org/pub/repos/yum/18/redhat/rhel-8-aarch64,https://download.postgresql.org/pub/repos/yum/18/redhat/rhel-8-aarch64/repodata/repomd.xml,https://repo.pigsty.cc/yum/pgdg/18/redhat/rhel-8-aarch64,https://repo.pigsty.cc/yum/pgdg/18/redhat/rhel-8-aarch64/repodata/repomd.xml,,{}
