id,name,pkg,lead_ext,category,packaged,lifecycle,kind,kernel,vendor,contrib,lang,license,tags,version,url,repo_url,home_url,doc_url,license_url,control_url,author_url,cargo_url,pgxn_url,has_bin,has_lib,need_ddl,need_load,trusted,relocatable,libs,schemas,pg_ver,requires,required_by,see_also,tarball,pgrx_ver,rpm_ver,rpm_repo,rpm_pkg,rpm_pg,rpm_deps,rpm_build,deb_ver,deb_repo,deb_pkg,deb_pg,deb_deps,deb_build,stars,watchers,forks,repo_created_at,last_commit,last_release,last_active,checked_at,en_desc,zh_desc,comment,extra,mtime
1000,timescaledb,timescaledb,timescaledb,TIME,t,,preload,,,f,C,Timescale,,2.28.3,https://github.com/timescale/timescaledb,https://github.com/timescale/timescaledb,https://www.tigerdata.com/,,https://github.com/timescale/timescaledb/blob/main/LICENSE,https://github.com/timescale/timescaledb/blob/main/timescaledb.control.in,https://github.com/timescale,,,f,t,t,t,t,f,{timescaledb},"{timescaledb_information,timescaledb_experimental}","{15,16,17,18}",,,"{timescaledb_toolkit,timeseries,pg_cron,pg_partman,periods,temporal_tables,emaj,pg_task}",timescaledb-2.28.3.tar.gz,,2.28.3,PIGSTY,timescaledb-tsl_$v,"{18,17,16,15}",,t,2.28.3,PIGSTY,postgresql-$v-timescaledb-tsl,"{18,17,16,15}",,t,23111,306,1121,2017-03-07,2026-07-16,2026-06-30,2026-07-16,2026-07-16,Enables scalable inserts and complex queries for time-series data,时序数据库扩展插件,,{},2026-07-21
1010,timescaledb_toolkit,timescaledb_toolkit,timescaledb_toolkit,TIME,t,,standard,,,f,Rust,Timescale,{pgrx},1.23.0,https://github.com/timescale/timescaledb-toolkit,https://github.com/timescale/timescaledb-toolkit,https://www.timescale.com,,https://github.com/timescale/timescaledb-toolkit/blob/main/LICENSE,https://github.com/timescale/timescaledb-toolkit/blob/main/extension/timescaledb_toolkit.control,https://github.com/timescale,https://github.com/timescale/timescaledb-toolkit/blob/main/extension/Cargo.toml,,f,t,t,f,f,f,,,"{15,16,17,18}",,,"{timescaledb,timeseries,periods,temporal_tables,emaj,pg_cron,pg_partman,table_version}",timescaledb-toolkit-1.23.0.tar.gz,0.19.1,1.23.0,PIGSTY,timescaledb-toolkit_$v,"{18,17,16,15}",,t,1.23.0,PIGSTY,postgresql-$v-timescaledb-toolkit,"{18,17,16,15}",,t,479,21,70,2020-12-02,2026-06-18,2026-06-03,2026-06-18,2026-07-16,"Library of analytical hyperfunctions, time-series pipelining, and other SQL utilities",超表分析查询，时间序列流式处理，以及其他SQL工具,raw pgrx: 0.18.0,{},2026-07-17
1020,timeseries,pg_timeseries,timeseries,TIME,t,,puresql,,,f,SQL,PostgreSQL,,0.2.1,https://github.com/ChuckHend/pg_timeseries,https://github.com/ChuckHend/pg_timeseries,,,https://github.com/ChuckHend/pg_timeseries/blob/main/LICENSE,https://github.com/ChuckHend/pg_timeseries/blob/main/timeseries.control,https://github.com/ChuckHend,,https://pgxn.org/dist/timeseries/,f,f,t,f,f,f,,,"{14,15,16,17,18}","{pg_cron,pg_partman}",,"{timescaledb,timescaledb_toolkit,periods,temporal_tables,emaj,table_version,pg_task,pg_later}",pg_timeseries-0.2.1.tar.gz,,0.2.1,PIGSTY,pg_timeseries_$v,"{18,17,16,15,14}","{pg_cron_$v,pg_partman_$v}",t,0.2.1,PIGSTY,postgresql-$v-pg-timeseries,"{18,17,16,15,14}","{postgresql-$v-cron,postgresql-$v-partman}",t,422,9,12,2024-03-07,2026-06-15,2026-06-15,2026-06-15,2026-07-16,Convenience API for time series stack,时序数据API封装,,{},2026-07-17
1030,periods,periods,periods,TIME,t,,standard,,,f,C,PostgreSQL,,1.2.3,https://github.com/xocolatl/periods,https://github.com/xocolatl/periods,,,https://github.com/xocolatl/periods/blob/master/LICENSE,https://github.com/xocolatl/periods/blob/master/periods.control,https://github.com/xocolatl,,,f,t,t,f,f,f,,,"{14,15,16,17,18}",{btree_gist},,"{timescaledb_toolkit,timescaledb,timeseries,temporal_tables,emaj,table_version,pg_cron,pg_partman}",periods-1.2.3.tar.gz,,1.2.3,PIGSTY,periods_$v,"{18,17,16,15,14}",,t,1.2.3,PGDG,postgresql-$v-periods,"{18,17,16,15,14}",,f,317,18,19,2019-06-06,2025-10-08,2025-10-08,2025-10-08,2026-07-16,Provide Standard SQL functionality for PERIODs and SYSTEM VERSIONING,为 PERIODs 和 SYSTEM VERSIONING 提供标准 SQL 功能,,"{""repo"": ""PIGSTY""}",2026-07-22
1040,temporal_tables,temporal_tables,temporal_tables,TIME,t,,standard,,,f,C,BSD-2-Clause,{pgdg-flaw},1.2.2,https://pgxn.org/dist/temporal_tables/,,https://arkhipov.ru,,https://github.com/arkhipov/temporal_tables/blob/master/LICENSE,https://github.com/arkhipov/temporal_tables/blob/master/temporal_tables.control,https://github.com/arkhipov,,https://pgxn.org/dist/temporal_tables/,f,t,t,f,f,t,,,"{14,15,16,17,18}",,,"{timescaledb_toolkit,timescaledb,timeseries,periods,emaj,table_version,pg_cron,pg_partman}",temporal_tables-1.2.2.tar.gz,,1.2.2,PIGSTY,temporal_tables_$v,"{18,17,16,15,14}",,t,1.2.2,PIGSTY,postgresql-$v-temporal-tables,"{18,17,16,15,14}",,t,,,,,,2023-09-24,2023-09-24,,temporal tables,时态表功能支持,PGDG lacks PG17 on EL8/9,{},2026-07-18
1050,emaj,emaj,emaj,TIME,t,,standard,,,f,SQL,GPL-3.0,,4.7.1,https://github.com/dalibo/emaj,https://github.com/dalibo/emaj,,,https://github.com/dalibo/emaj/blob/master/LICENSE,https://github.com/dalibo/emaj/blob/master/emaj.control,https://github.com/dalibo,,https://pgxn.org/dist/e-maj/,f,t,t,f,f,f,,{emaj},"{14,15,16,17,18}","{btree_gist,dblink}",,"{timescaledb_toolkit,timescaledb,periods,temporal_tables,table_version,pg_cron,pg_partman,timeseries}",emaj-4.7.1.tar.gz,,4.7.1,PGDG,e-maj_$v,"{18,17,16,15,14}",,f,4.7.1,PIGSTY,postgresql-$v-emaj,"{18,17,16,15,14}",,t,91,9,9,2012-10-05,2026-07-08,2025-09-26,2026-07-08,2026-07-16,Enables fine-grained write logging and time travel on subsets of the database.,让数据库的子集具有细粒度日志和时间旅行功能,Requires max_prepared_transactions,{},2026-07-18
1060,table_version,table_version,table_version,TIME,t,,standard,,,f,SQL,BSD-3-Clause,{pgdg-flaw},1.11.1,https://github.com/linz/postgresql-tableversion,https://github.com/linz/postgresql-tableversion,,,https://github.com/linz/postgresql-tableversion/blob/master/LICENSE,https://github.com/linz/postgresql-tableversion/blob/master/table_version.control.in,https://github.com/linz,,https://pgxn.org/dist/table_version/,f,t,t,f,f,f,,{table_version},"{14,15,16,17,18}",{plpgsql},,"{periods,temporal_tables,emaj,pg_cron,timescaledb,timescaledb_toolkit,timeseries,pg_task}",postgresql-tableversion-1.11.1.tar.gz,,1.11.1,PIGSTY,table_version_$v,"{18,17,16,15,14}",,f,1.11.1,PIGSTY,postgresql-$v-table-version,"{18,17,16,15,14}",,t,68,9,5,2016-01-13,2024-11-08,2024-11-08,2024-11-08,2026-07-16,PostgreSQL table versioning extension,PostgreSQL 版本控制表扩展,,"{""repo"": ""MIXED""}",2026-07-18
1070,pg_cron,pg_cron,pg_cron,TIME,t,,preload,,,f,C,PostgreSQL,,1.6.7,https://github.com/citusdata/pg_cron,https://github.com/citusdata/pg_cron,,,https://github.com/citusdata/pg_cron/blob/main/LICENSE,https://github.com/citusdata/pg_cron/blob/main/pg_cron.control,https://github.com/citusdata,,,f,t,t,t,f,f,{pg_cron},{pg_catalog},"{14,15,16,17,18}",,"{documentdb,keyhippo,pg_dispatch,pgfr_record,pglock,pgmb,supa_queue,timeseries,vectorize}","{timescaledb_toolkit,timescaledb,periods,temporal_tables,pg_task,pg_later,emaj,table_version}",,,1.6.7,PGDG,pg_cron_$v,"{18,17,16,15,14}",,f,1.6.7,PGDG,postgresql-$v-cron,"{18,17,16,15,14}",,f,3841,73,258,2016-09-04,2026-07-09,2025-09-04,2026-07-09,2026-07-16,Job scheduler for PostgreSQL,定时任务调度器,Requires cron.database_name,{},2026-07-19
1080,pg_task,pg_task,pg_task,TIME,t,,headless,,,f,C,MIT,,2.1.29,https://github.com/RekGRpth/pg_task,https://github.com/RekGRpth/pg_task,,,https://github.com/RekGRpth/pg_task/blob/master/LICENSE,,https://github.com/RekGRpth,,https://pgxn.org/dist/pg_task/,f,t,f,t,f,f,{pg_task},,"{14,15,16,17,18}",,,"{timescaledb,pg_cron,pg_later,pg_background,pg_partman,timescaledb_toolkit,timeseries,periods}",pg_task-2.1.29.tar.gz,,2.1.29,PIGSTY,pg_task_$v,"{18,17,16,15,14}",,t,2.1.29,PIGSTY,postgresql-$v-pg-task,"{18,17,16,15,14}",,t,67,1,11,2019-02-14,2026-07-13,2026-07-13,2026-07-13,2026-07-16,execute any sql command at any specific time at background,在特定时间点在后台执行SQL命令,,{},2026-07-19
1090,pg_later,pg_later,pg_later,TIME,t,,preload,,,f,Rust,PostgreSQL,{pgrx},0.4.0,https://github.com/ChuckHend/pg_later,https://github.com/ChuckHend/pg_later,,,https://github.com/ChuckHend/pg_later/blob/main/LICENSE,https://github.com/ChuckHend/pg_later/blob/main/pg_later.control,https://github.com/ChuckHend,https://github.com/ChuckHend/pg_later/blob/main/Cargo.toml,https://pgxn.org/dist/pg_later/,f,t,t,t,f,f,{pg_later},{pglater},"{14,15,16,17,18}",{pgmq},,"{pg_cron,pg_task,pg_background,timescaledb,timescaledb_toolkit,timeseries,periods,temporal_tables}",pg_later-0.4.0.tar.gz,0.19.1,0.4.0,PIGSTY,pg_later_$v,"{18,17,16,15,14}",{pgmq_$v},t,0.4.0,PIGSTY,postgresql-$v-pg-later,"{18,17,16,15,14}",{postgresql-$v-pgmq},t,375,8,13,2023-07-24,2025-11-13,2025-11-13,2025-11-13,2026-07-16,Run queries now and get results later,执行查询，并在稍后异步获取查询结果,raw pgrx: 0.16.1,{},2026-07-19
